Strong	Word	Count
565	go 	53
565	depart 	27
565	go (one's) way 	16
565	go away 	14
565	come 	4
565	miscellaneous 	6
566	be enough 	1
567	abstain 	6
568	be 	5
568	have 	4
568	receive 	2
569	believe not 	7
570	unbelief 	12
571	that believe not 	6
571	unbelieving 	5
571	faithless 	4
571	unbeliever 	4
571	infidel 	2
571	thing incredible 	1
571	which believe not 	1
572	simplicity 	3
572	singleness 	2
572	liberality 	1
572	bountifulness 	1
572	liberty 	1
573	single 	2
574	liberal 	1
575	from 	393
575	of 	129
575	out of 	48
575	for 	10
575	off 	10
575	by 	9
575	at 	9
575	in 	6
575	since 	5
575	on 	5
575	not tr. 	16
575	misc. 	31
576	turn 	2
576	go out 	1
576	come 	1
577	cast away 	2
578	have respect 	1
579	be refused 	1
580	loss 	1
580	casting away 	1
581	being dead 	1
582	taxing 	2
583	tax 	3
583	write 	1
584	approve 	1
584	prove 	1
584	set forth 	1
584	show 	1
585	demonstration 	1
586	pay tithe 	1
586	tithe 	1
586	give tithe 	1
586	take tithe 	1
587	acceptable 	2
588	receive 	3
588	receive gladly 	2
588	accept 	1
589	go into a far country 	3
589	take (one's) journey 	2
589	travel into a far country 	1
590	taking a far journey 	1
591	pay 	9
591	give 	9
591	render 	9
591	reward 	7
591	sell 	3
591	yield 	2
591	miscellaneous 	9
592	separate (one's) self 	1
593	reject 	7
593	disallow 	2
594	acceptation 	2
595	putting away 	1
595	must put off 	1
596	barn 	4
596	garner 	2
597	lay in store 	1
598	press 	1
599	die 	98
599	be dead 	29
599	be at the point of death 	1
599	perish 	1
599	lie a dying 	1
599	be slain	1
599	vr dead 	1
600	restore 	7
600	restore again 	1
601	reveal 	26
602	revelation 	12
602	be revealed 	2
602	to lighten 	1
602	manifestation 	1
602	coming 	1
602	appearing 	1
603	earnest expectation 	2
604	reconcile 	3
605	restitution 	1
606	lay up 	3
606	appoint 	1
607	behead 	4
608	shut up 	1
609	cut off 	6
610	sentence 	1
611	answer 	250
612	answer 	4
613	hide 	6
614	hid 	2
614	kept secret 	1
615	kill 	55
615	slay 	14
615	put to death 	6
616	bring forth 	1
616	begat 	1
617	roll away 	3
617	roll back 	1
618	receive 	10
618	take aside 	1
618	receive ... again 	1
619	to enjoy	
619	enjoy the pleasures	1
620	leave 	3
620	remain 	3
621	lick 	1
622	perish 	33
622	destroy 	26
622	lose 	22
